date,datetime,SACTMIN,SPOSTMIN
07/03/2018,2018-07-03 14:29:06,,60
07/03/2018,2018-07-03 14:37:06,,50
07/03/2018,2018-07-03 14:44:07,,50
07/03/2018,2018-07-03 14:51:07,,50
07/03/2018,2018-07-03 14:58:06,,50
07/03/2018,2018-07-03 15:02:06,,50
07/03/2018,2018-07-03 15:09:07,,50
07/03/2018,2018-07-03 15:16:07,,50
07/03/2018,2018-07-03 15:23:06,,45
07/03/2018,2018-07-03 15:29:06,,55
07/03/2018,2018-07-03 15:37:06,,55
07/03/2018,2018-07-03 15:44:07,,60
07/03/2018,2018-07-03 15:51:07,,45
07/03/2018,2018-07-03 15:58:07,,45
07/03/2018,2018-07-03 16:02:07,,60
07/03/2018,2018-07-03 16:09:06,,60
07/03/2018,2018-07-03 16:16:07,,60
07/03/2018,2018-07-03 16:23:07,,60
07/03/2018,2018-07-03 16:29:07,,65
07/03/2018,2018-07-03 16:37:06,,65
07/03/2018,2018-07-03 16:44:07,,65
